hour,month,day,hour_of_day,T_drybulb_F
485,1,21,5,26.1
486,1,21,6,24.1
487,1,21,7,24.1
488,1,21,8,27.0
489,1,21,9,30.9
490,1,21,10,34.0
491,1,21,11,34.0
492,1,21,12,36.0
493,1,21,13,37.0
494,1,21,14,36.0
495,1,21,15,36.0
496,1,21,16,36.0
497,1,21,17,35.1
498,1,21,18,34.0
499,1,21,19,34.0
500,1,21,20,34.0
501,1,21,21,33.1
502,1,21,22,33.1
503,1,21,23,32.0
504,1,22,0,32.0
505,1,22,1,30.9
506,1,22,2,30.9
507,1,22,3,30.9
508,1,22,4,30.0
509,1,22,5,30.0
510,1,22,6,30.0
511,1,22,7,28.9
512,1,22,8,28.0
513,1,22,9,28.0
514,1,22,10,28.0
515,1,22,11,25.0
516,1,22,12,21.9
517,1,22,13,19.9
518,1,22,14,18.0
519,1,22,15,15.1
520,1,22,16,12.0
521,1,22,17,10.9
522,1,22,18,9.0
523,1,22,19,6.1
524,1,22,20,5.0
525,1,22,21,3.0
526,1,22,22,-0.0
527,1,22,23,-0.9
528,1,23,0,-2.9
529,1,23,1,-4.0
530,1,23,2,-4.0
531,1,23,3,-4.0
532,1,23,4,-2.9
533,1,23,5,-2.9
534,1,23,6,-2.0
535,1,23,7,-0.9
536,1,23,8,1.0
537,1,23,9,5.0
538,1,23,10,7.0
539,1,23,11,9.0
540,1,23,12,12.0
541,1,23,13,12.9
542,1,23,14,15.1
543,1,23,15,16.0
544,1,23,16,14.0
545,1,23,17,14.0
546,1,23,18,12.9
547,1,23,19,12.0
548,1,23,20,12.0
549,1,23,21,12.0
550,1,23,22,10.9
551,1,23,23,10.0
552,1,24,0,10.0
553,1,24,1,10.0
554,1,24,2,10.0
555,1,24,3,10.0
556,1,24,4,10.0
557,1,24,5,10.9
558,1,24,6,10.9
559,1,24,7,10.9
560,1,24,8,12.0
561,1,24,9,12.9
562,1,24,10,12.9
563,1,24,11,14.0
564,1,24,12,15.1
565,1,24,13,16.0
566,1,24,14,16.0
567,1,24,15,17.1
568,1,24,16,17.1
569,1,24,17,18.0
570,1,24,18,18.0
571,1,24,19,18.0
572,1,24,20,18.0
573,1,24,21,17.1
574,1,24,22,17.1
575,1,24,23,17.1
576,1,25,0,17.1
577,1,25,1,17.1
578,1,25,2,17.1
579,1,25,3,18.0
580,1,25,4,18.0
581,1,25,5,17.1
582,1,25,6,18.0
583,1,25,7,19.9
584,1,25,8,21.9
585,1,25,9,24.1
586,1,25,10,25.0
587,1,25,11,27.0
588,1,25,12,28.9
589,1,25,13,30.0
590,1,25,14,30.0
591,1,25,15,30.9
592,1,25,16,30.0
593,1,25,17,30.0
594,1,25,18,30.0
595,1,25,19,33.1
596,1,25,20,33.1
597,1,25,21,34.0
598,1,25,22,34.0
599,1,25,23,35.1
600,1,26,0,35.1
601,1,26,1,36.0
602,1,26,2,36.0
603,1,26,3,36.0
604,1,26,4,37.9
605,1,26,5,37.9
606,1,26,6,37.9
607,1,26,7,37.0
608,1,26,8,39.0
609,1,26,9,39.0
610,1,26,10,39.0
611,1,26,11,39.9
612,1,26,12,39.9
613,1,26,13,39.9
614,1,26,14,41.0
615,1,26,15,41.0
616,1,26,16,39.9
617,1,26,17,39.0
618,1,26,18,39.9
619,1,26,19,37.9
620,1,26,20,37.9
621,1,26,21,37.9
622,1,26,22,37.9
623,1,26,23,39.9
624,1,27,0,41.0
625,1,27,1,48.0
626,1,27,2,51.1
627,1,27,3,52.0
628,1,27,4,53.1
629,1,27,5,54.0
630,1,27,6,52.0
631,1,27,7,52.0
632,1,27,8,54.0
633,1,27,9,53.1
634,1,27,10,55.0
635,1,27,11,54.0
636,1,27,12,55.0
637,1,27,13,52.0
638,1,27,14,52.0
639,1,27,15,52.0
640,1,27,16,52.0
641,1,27,17,52.0
642,1,27,18,53.1
643,1,27,19,55.0
644,1,27,20,54.0
645,1,27,21,54.0
646,1,27,22,54.0
647,1,27,23,55.9
648,1,28,0,46.0
649,1,28,1,46.0
650,1,28,2,43.0
651,1,28,3,42.1
652,1,28,4,42.1
653,1,28,5,45.0
654,1,28,6,43.0
655,1,28,7,42.1
656,1,28,8,41.0
657,1,28,9,41.0
658,1,28,10,41.0
659,1,28,11,39.9
660,1,28,12,39.0
661,1,28,13,39.0
662,1,28,14,39.0
663,1,28,15,37.9
664,1,28,16,36.0
665,1,28,17,35.1
666,1,28,18,33.1
667,1,28,19,32.0
668,1,28,20,30.9
669,1,28,21,30.9
670,1,28,22,30.0
671,1,28,23,30.0
672,1,29,0,30.0
673,1,29,1,30.0
674,1,29,2,30.0
675,1,29,3,30.0
676,1,29,4,30.0
677,1,29,5,30.9
678,1,29,6,30.9
679,1,29,7,30.9
680,1,29,8,32.0
681,1,29,9,34.0
682,1,29,10,37.0
683,1,29,11,39.0
684,1,29,12,41.0
685,1,29,13,41.0
686,1,29,14,41.0
687,1,29,15,39.9
688,1,29,16,39.0
689,1,29,17,39.0
690,1,29,18,37.9
691,1,29,19,37.9
692,1,29,20,37.9
693,1,29,21,37.9
694,1,29,22,37.9
695,1,29,23,37.0
696,1,30,0,36.0
697,1,30,1,34.0
698,1,30,2,32.0
699,1,30,3,30.9
700,1,30,4,30.9
701,1,30,5,30.0
702,1,30,6,30.0
703,1,30,7,30.0
704,1,30,8,30.0
705,1,30,9,32.0
706,1,30,10,33.1
707,1,30,11,33.1
708,1,30,12,33.1
709,1,30,13,34.0
710,1,30,14,34.0
711,1,30,15,32.0
712,1,30,16,32.0
713,1,30,17,30.9
714,1,30,18,30.9
715,1,30,19,30.0
716,1,30,20,28.9
717,1,30,21,27.0
718,1,30,22,26.1
719,1,30,23,25.0
720,1,31,0,24.1
721,1,31,1,23.0
722,1,31,2,21.9
723,1,31,3,21.0
724,1,31,4,19.9
725,1,31,5,19.0
726,1,31,6,19.0
727,1,31,7,19.0
728,1,31,8,21.0
729,1,31,9,23.0
730,1,31,10,26.1
731,1,31,11,27.0
732,1,31,12,28.0
733,1,31,13,28.0
734,1,31,14,28.9
735,1,31,15,30.0
736,1,31,16,30.0
737,1,31,17,30.9
738,1,31,18,30.9
739,1,31,19,30.9
740,1,31,20,30.9
741,1,31,21,28.9
742,1,31,22,26.8
743,1,31,23,24.6
744,2,1,0,22.6
745,2,1,1,20.5
746,2,1,2,18.3
747,2,1,3,16.0
748,2,1,4,16.0
749,2,1,5,17.1
750,2,1,6,17.1
751,2,1,7,18.0
752,2,1,8,19.0
753,2,1,9,19.9
754,2,1,10,24.1
755,2,1,11,27.0
756,2,1,12,28.9
757,2,1,13,28.9
758,2,1,14,28.0
759,2,1,15,28.9
760,2,1,16,28.0
761,2,1,17,26.1
762,2,1,18,25.0
763,2,1,19,24.1
764,2,1,20,21.0
765,2,1,21,19.0
766,2,1,22,17.1
767,2,1,23,16.0
768,2,2,0,16.0
769,2,2,1,16.0
770,2,2,2,15.1
771,2,2,3,15.1
772,2,2,4,14.0
773,2,2,5,12.9
774,2,2,6,12.9
775,2,2,7,14.0
776,2,2,8,15.1
777,2,2,9,16.0
778,2,2,10,18.0
779,2,2,11,19.9
780,2,2,12,21.9
781,2,2,13,24.1
782,2,2,14,26.1
783,2,2,15,27.0
784,2,2,16,27.0
785,2,2,17,26.1
786,2,2,18,25.0
787,2,2,19,24.1
788,2,2,20,23.0
789,2,2,21,21.9
790,2,2,22,21.9
791,2,2,23,19.9
792,2,3,0,19.9
